"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
CAVAN,16520P,ST MARY'S N.S.,DRUNG,BALLYHAISE,18,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16767D,CORONEA N S,ARVA,CO CAVAN,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16921K,S N BEAL ATHA NA NEACH,BALLINAGH,CO CAVAN,25,25,23,28,28,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16959M,S N CORRABHA,GLANGEVLIN N S,CARRICK ON SHANNON,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17230L,SCOIL NAOMH BRID,"CILL UACHTAIR,","AN CNOC RUA,",26,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17240O,S N TAMHNACH DHUIBH,BAILIEBORO,CO CAVAN,20,27,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17326B,S N NAOMH FEIDHLIM,CAVAN,CO CAVAN,19,20,19,21,20,21,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17440W,S N NAOMH MAODHOG,CILL NA BHEART,BEAL ATHA CONAILL,18,23,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17479D,SCOIL MHUIRE,LACKEN,BALLINAGH,22,27,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17531C,BAILE NA MONA,BAILIEBORO,CO CAVAN,18,23,24,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17601U,S N DOIRE NA CEISE,AN MHUINCHILLE,CO CAVAN,21,28,26,25,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17625L,CNOC AN TEAMPAILL,VIRGINIA,CO CAVAN,27,22,22,19,27,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17630E,S N MAODHOG,CNOC BRIGHDE,BAILIEBORO,13,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17780A,BALLYHAISE N S,CAVAN,CO CAVAN,26,26,27,27,28,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,17990L,S N DROM CNAMH,DROM CNAMH,CO CAVAN,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18059J,BAILIEBORO N S,BAILIEBORO,CO CAVAN,23,19,24,24,18,23,33,34,33,27,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18127A,S N MHUIRE,BELTURBET,CO CAVAN,28,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18340A,S N PADRAIG,LIOS BO DUIBHE,AN MHUINCHILLE,20,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18346M,S N GREACH RATHAIN,BEAL TAIRBEIRT,CO CAVAN,26,31,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18355N,KNOCKNAGILLA N S,AN SRAITH DOIMHIN,CO CAVAN,25,25,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18393V,S N CILLIN,CROS RIABHACH,MULLACH,18,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18518P,S N CORR LORGAN,CABHAN,CO CAVAN,20,26,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18564W,S N LEITIR,CILL CATHLAIGH,CO CAVAN,27,25,30,29,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18833A,S N LATHRACH,LATHRACH,SRAITH AN DOMHAIN,22,23,21,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,18857O,S N CARRAIG A BRUIS,VIRGINIA,CO CAVAN,23,25,25,27,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19202Q,DRUMKILLY NS,KILNALECK,CO CAVAN,26,25,26,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19285A,KILL N S,COOTEHILL,CO CAVAN,26,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19322D,KILMORE CENTRAL N S,KILMORE CENTRAL N S,KILMORE,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19326L,BUTLERSBRIDGE NS,CAVAN,CO CAVAN,28,31,27,29,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19363R,MULLAHORAN CENTRAL N S,KILCOGY,VIA LONGFORD,27,28,25,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19378H,BALLYNARRY N S,BALLYHEELAN,KILNALECK,17,26,27,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19418Q,CASTLERAHAN CENTRAL NS,CASTLERAHAN,BALLYJAMESDUFF,29,26,33,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19432K,CROSSKEYS CENTRAL N S,CROSSKEYS,CO CAVAN,29,29,25,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19527V,CABRA CENTRAL N S,CABRA,KINGSCOURT,16,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19568M,ST PATRICKS,BRUSKEY CARRIGANS PO,BALLINAGH,20,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19596R,CROSSERLOUGH N S,CROSSERLOUGH,CO. CAVAN,23,27,26,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19608V,ST KILLIANS N S,MULLAGH,CO CAVAN,30,29,30,26,27,23,23,32,29,33,27,26,28,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19679V,S N AODHAIN NAOFA,AN BABHUN BUI,BEAL TAIRBIRT,24,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19871N,ST PATRICKS N S,KILLINAGH,BLACKLION  VIA SLIGO,18,20,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19921C,DRUNG NO 2 NS,DRUNG,CO CAVAN,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,19983B,ST CLARES NS,BALLYJAMESDUFF,CO CAVAN,29,28,24,24,27,28,28,27,35,32,34,25,28,29,,,,,,,,,,,,,,,,,,,,,
CAVAN,20026G,Gaelscoil Bhreifne,Halla na nGasóga,Bóthar an Iarnróid,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,20134J,ST MICHAELS N. S.,STRADONE,CAVAN,26,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,20172R,ST JOSEPHS N S,KINGSCOURT,CO CAVAN,24,26,31,30,27,32,26,29,29,29,23,30,25,,,,,,,,,,,,,,,,,,,,,,
CAVAN,20277I,St Michaels National School,Cootehill,Co Cavan,20,20,19,19,24,27,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,02439G,S N MHUIRE,FEAKLE,CO CLARE,23,18,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,03898U,TOONAGH N S,TOONAGH,ENNIS,34,24,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,03928D,MULLACH N S,MULLACH,ENNIS,20,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,04548V,SCOIL SEANAIN NAOFA,CLUAINLARA,CO AN CHLAIR,21,21,17,17,33,28,28,31,31,28,33,26,30,,,,,,,,,,,,,,,,,,,,,,
CLARE,04919H,CRATLOE N S,CRATLOE,CO CLARE,22,22,23,20,22,30,31,33,34,38,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,05253H,O CALLAGHANS MILLS N S,OCALLAGHANS MILLS,CO CLARE,14,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,07315N,HOLY FAMILY SNR,ENNIS,CO CLARE,39,38,23,25,24,22,22,25,23,23,24,26,29,27,,,,,,,,,,,,,,,,,,,,,
CLARE,08241P,SCROPUL N S,MULLAGH,ENNIS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,09390O,ROCKMOUNT MIXED N S,MILTOWN MALBAY,CO CLARE,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARE,09425H,RINEEN N S,MILTOWN MALBAY,CO CLARE,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
