"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
South Dublin,19617W,ST MARTIN DE PORRES N S,AYLESBURY,OLD BAWN,32,31,27,25,28,29,33,30,29,26,28,29,32,27,30,,,,,,,,,,,,,,,,,,,,
South Dublin,19623R,ST PAULS JUN NS,GREENHILLS,WALKINSTOWN,22,22,23,25,26,30,31,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19642V,ST PETER APOSTLE SEN NS,NEILLSTOWN,CLONDALKIN,17,16,15,21,21,23,15,16,13,19,20,17,16,13,,,,,,,,,,,,,,,,,,,,,
South Dublin,19646G,SCOIL SANTAIN,BOTHAR NA HABHANN MOR,TAMHLACHT,21,21,21,21,21,20,21,20,19,20,28,27,28,27,28,28,,,,,,,,,,,,,,,,,,,
South Dublin,19647I,ST MARYS SEN N S,ROWLAGH,CLONDALKIN,27,22,19,19,22,23,23,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19652B,AN CHROI RO NAOFA SOIS,KILLINARDEN,TALLAGHT,22,23,23,18,20,18,19,22,22,22,17,17,17,17,,,,,,,,,,,,,,,,,,,,,
South Dublin,19658N,BISHOP SHANAHAN NS,ORWELL PARK,TEMPLEOGUE,26,28,29,28,26,27,29,27,30,30,29,30,28,28,28,26,,,,,,,,,,,,,,,,,,,
South Dublin,19676P,SCOIL AINE NAOFA,ESKER,LUCAN,29,28,29,30,30,29,28,29,24,24,29,24,30,23,25,23,22,24,,,,,,,,,,,,,,,,,
South Dublin,19702N,ST THOMAS JUNIOR N S,JOBSTOWN,TALLAGHT,16,16,15,15,16,15,15,16,14,16,17,15,15,15,14,14,16,16,15,15,16,16,16,16,15,16,16,16,,,,,,,
South Dublin,19707A,ST RONANS N S,DEANSRATH,CLONDALKIN,19,19,19,23,22,19,16,19,20,19,21,20,21,21,22,16,22,20,21,21,21,21,24,,,,,,,,,,,,
South Dublin,19742C,ST COLMCILLE SENIOR N S,KNOCKLYON,DUBLIN 16,30,29,28,30,29,30,29,29,28,29,29,28,30,31,30,31,30,30,28,28,26,25,26,27,,,,,,,,,,,
South Dublin,19743E,ST BERNADETTES JUNIOR N S,QUARRYVALE,CLONDALKIN,21,21,21,21,21,21,19,18,19,21,18,19,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19765O,ST THOMAS SENIOR N S,JOBSTOWN,TALLAGHT,23,22,24,22,22,20,19,18,18,19,20,18,20,18,16,16,16,14,16,16,16,,,,,,,,,,,,,,
South Dublin,19775R,SCOIL CNOC MHUIRE JUNIOR,KNOCKMORE AVE,KILLINARDEN,17,17,18,15,17,12,15,13,16,17,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19782O,ST BRIGIDS N S,BROOKFIELD,TALLAGHT,18,18,17,17,20,17,20,21,20,19,18,20,21,21,18,18,,,,,,,,,,,,,,,,,,,
South Dublin,19785U,ST BERNADETTES SENIOR N S,QUARRYVALE,CLONDALKIN,25,26,18,22,21,15,16,15,17,19,17,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19799I,SACRED HEART N S,SRULEEN,CLONDALKIN,34,27,31,27,23,23,26,26,27,31,26,31,28,33,,,,,,,,,,,,,,,,,,,,,
South Dublin,19817H,ST MARYS N S,WOODVIEW,ESKER,29,29,25,23,19,22,26,29,25,25,27,24,23,23,26,25,,,,,,,,,,,,,,,,,,,
South Dublin,19834H,ST AIDANS NS,BROOKFIELD,TALLAGHT,18,20,20,19,20,18,20,22,20,19,23,19,24,21,15,17,,,,,,,,,,,,,,,,,,,
South Dublin,19855P,GAELSCOIL CHLUAIN DOLCAIN,BOTHAR NANGOR,CLUAIN DOLCAIN,30,30,30,29,31,26,30,30,29,27,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19865S,ARCHBISHOP RYAN J N S,BALGADDY,LUCAN,23,23,22,22,22,20,24,24,24,22,23,24,24,23,23,24,25,24,25,25,25,24,26,25,,,,,,,,,,,
South Dublin,19872P,SCOIL CHAITLIN MAUDE,CNOC MHUIRE,TAMHLACHT,22,21,20,17,17,18,23,25,23,28,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19878E,Holy Rosary Primary School,Old Court Avenue,Tallaght,26,25,24,20,21,20,25,26,27,24,23,25,23,24,23,27,26,27,22,22,23,22,23,24,,,,,,,,,,,
South Dublin,19893A,ST KILIANS SENIOR N S,CASTLEVIEW,TALLAGHT,32,31,28,26,29,26,19,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19940G,GAELSCOIL NAOMH PADRAIG,LEAMHCAN,CO BAILE ATHA CLIATH,31,31,30,30,31,32,30,29,32,30,29,27,30,22,19,,,,,,,,,,,,,,,,,,,,
South Dublin,19943M,ST DAMIENS NS,BEECHFIELD CLOSE,WALKINSTOWN,31,30,29,28,32,17,15,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19950J,ST DOMINICS N S,TALLAGHT,DUBLIN 24,16,16,23,24,27,29,28,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,19991A,GAELSCOIL NA CAMOIGE,ARAS CHRONAIN,BOTHAR AN ULLOIRD,30,32,30,28,29,26,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,20043G,GAELSCOIL CHNOC LIAMHNA,HALLA NA NGASOGA,BOTHAR CNOC LIAMHNA,16,16,34,26,32,30,27,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,20066S,LUCAN EDUCATE TOGETHER NS,"BEWLEY WAY,","WILLSBROOK,",28,28,27,25,28,26,25,28,27,28,29,28,27,28,28,24,,,,,,,,,,,,,,,,,,,
South Dublin,20166W,GRIFFEEN VALLEY EDUCATE TOGETHER NS,"GRIFFEEN GLEN BOULEVARD,",LUCAN,28,28,27,28,27,27,27,28,29,28,27,26,29,28,27,27,,,,,,,,,,,,,,,,,,,
South Dublin,20173T,ST ANNES PRIMARY SCHOOL,FETTERCAIRN,TALLAGHT,22,19,20,21,21,18,18,19,18,19,18,20,21,20,21,24,23,22,21,21,19,18,,,,,,,,,,,,,
South Dublin,20187H,ARCHBISHOP RYAN SENIOR N S,BALGADDY,LUCAN,29,28,30,29,29,26,27,28,27,26,24,30,29,34,31,34,22,21,24,22,24,26,,,,,,,,,,,,,
South Dublin,20194E,St. John the Evangelist National Sc,ADAMSTOWN,CO DUBLIN,26,26,22,21,25,26,29,24,28,26,20,20,25,27,,,,,,,,,,,,,,,,,,,,,
South Dublin,20223I,GAELSCOIL EISCIR RIADA,BÓTHAR AN GHRIFÍN,LEAMHCÁN,21,23,22,30,31,30,31,31,29,23,24,31,28,,,,,,,,,,,,,,,,,,,,,,
South Dublin,20268H,Adamstown Castle Educate Together N,Adamstown Castle,Adamstown,32,24,28,34,34,34,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dublin,20274C,Esker Educate Together N.S.,Adamstown Castle,Adamstown,27,28,25,25,27,22,27,26,28,25,26,22,18,,,,,,,,,,,,,,,,,,,,,,
South Dublin,20303G,Lucan East ETNS,Kishogue Cross,Off Griffeen Avenue,30,23,30,22,24,30,22,31,28,30,27,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,00590A,BORRISOLEIGH B N S,BORRISOLEIGH,CO TIPPERARY,13,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,01569O,BALLYCAHILL N S,BALLYCAHILL,THURLES,14,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,01594N,ST JOHNS,ROSCREA,CO TIPPERARY,26,27,26,27,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,02428B,LACKAMORE N S,NEWPORT,CO TIPPERARY,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,04005G,S N NAOMH PEADAR,HORSE AND JOCKEY,THURLES,25,25,26,28,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,04067F,CONVENT OF MERCY,NEWPORT,CO TIPPERARY,30,31,29,28,31,31,29,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,06658P,KILDANGAN N S,CILL AN DAINGIN   POCON,AONACH URMHUN,27,29,26,20,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,09190G,BOHER N S,BOHER,KILLALOE,19,26,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,11367I,PORTROE N S,NENAGH,CO TIPPERARY,21,23,24,19,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,11384I,GURTAGARRY N S,TOOMEVARA,NENAGH,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,12124K,REAR N S,NEWPORT,CO TIPPERARY,24,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,12540B,CLONMORE N S,TEMPLEMORE,CO TIPPERARY,23,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,13867P,ROSCREA N S NO 2,ST CRONANS NS,ROSCREA,14,,16,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,13991Q,BIRDHILL N S,KILLALOE,CO TIPPERARY,28,22,30,29,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,14460N,KILLEA N S,TEMPLEMORE,CO TIPPERARY,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,15560W,BISHOP HARTY NS,BALLINREE,NENAGH,28,24,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,15696B,SILVERMINES N S,NENAGH,CO TIPPERARY,22,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,15778D,ST MARYS N S,NENAGH,CO TIPPERARY,22,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,15795D,ST MARYS N S,TEMPLEMORE,CO TIPPERARY,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16112A,ST MARYS CONVENT,NENAGH,CO TIPPERARY,21,24,27,26,24,23,19,19,28,29,25,25,29,28,31,32,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16166A,CARRIG N S,BIRR,CO OFFALY,27,24,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16211C,TWO MILE BORRIS N S,THURLES,CO TIPPERARY,23,25,24,28,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16250M,TEMPLETUOHY N S,THURLES,CO TIPPERARY,24,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16276H,CARRIG N S,BALLYCOMMON,NENAGH,24,26,31,32,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16344V,ST MARYS JNR B N S,NENAGH,CO TIPPERARY,22,22,29,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16727O,SCOIL NA MBRAITHRE,NENAGH,CO TIPPERARY,21,21,22,20,23,23,26,22,24,24,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16810B,EOCHAILLE ARA N S,NEWTOWN,NENAGH,20,25,24,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16835R,S N NAOMH TREASA,BORRISOLEIGH,THURLES,37,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16933R,LOCH MOR MAIGH N S,TEMPLEMORE,CO TIPPERARY,21,22,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,16979S,ST COLMCILLES PRIMARY SCHOOL,TEMPLEMORE,CO TIPPERARY,22,19,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17179O,S N AN CILLIN,BIRR,CO OFFALY,16,22,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17237C,S N CILL BARFHIONN,COOLBAWN,NENAGH,18,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17244W,S N NAOMH RUADHAIN,LORRHA,NENAGH,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17296S,S N BAILE NA HINSE,BIRDHILL,LIMERICK,29,23,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17498H,S N NAOMH SHEOSAMH,TOOMEVARA,NENAGH,25,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17512V,S N FLANNAIN NAOFA,RATH CHOBAIN,ROSCRE,29,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17543J,CLOUGHJORDAN N S,CLOUGHJORDAN,CO TIPPERARY,22,29,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17608L,S N LUA NAOFA,LORRHA,NENAGH,16,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17634M,SCOIL AILBHE,THURLES,CO TIPPERARY,26,26,34,35,27,25,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17640H,S N COLMAIN NAOFA,TIR DA GLAS,NENAGH,16,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17653Q,CASTLE INY N S,LUACH MAGH,TEMPLEMORE,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17679L,S N BRIGHDE,FANTAN,BORRISOLEIGH THURLES,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17681V,S N NA MAIGHNE,THURLES,CO TIPPERARY,24,21,16,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17703F,S N ARD CROINE,NENAGH,CO TIPPERARY,31,29,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17712G,S N CHIARDA NAOFA,KILKEARY,NENAGH,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17731K,S N IOSEF NAOFA,TEMPLEMORE,CO TIPPERARY,25,20,16,25,17,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17850S,S N PHADRAIG NAOFA,PAIRC NA COILLE,BORRISOKANE,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,17940T,S N NA MBUACHAILLI,TULACH SEASTA,NEWPORT,25,21,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18087O,S N ODHRAN NAOFA,BAILE NA CLOICHE,SILVERMINES NENAGH,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18135W,SCOIL ANGELA,URSULINE CONVENT,THURLES,28,22,30,34,21,19,30,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18164G,S N BUIRGHEAS,NENAGH,CO TIPPERARY,23,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18207V,S N BAILE AN ATHA,KILLALOE,CO CLARE,29,28,26,26,28,29,25,26,29,30,29,27,32,32,32,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18213Q,S N LEAMHACH,THURLES,CO TIPPERARY,19,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18285S,S N CILL CHUIMIN,THURLES,CO TIPPERARY,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18322V,S N AN DROMA,THURLES,CO TIPPERARY,15,22,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18343G,S N CHAOIMHGHIN,BAILE DHAITH,THURLES,27,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18345K,S N IOSEF NAOFA,COR AN BHILE,ROSCREA,22,23,19,17,29,27,16,17,20,22,17,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18350D,S N NA HINSE,THURLES,CO TIPPERARY,19,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18369B,S N CILL RUADHAIN,NENAGH,CO TIPPERARY,24,18,26,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18379E,BARNANE N S,TEMPLEMORE,CO TIPPERARY,22,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18396E,S N RATH EILTE,THURLES,CO TIPPERARY,23,,23,,23,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18435L,SACRED HEART PRIMARY SCHOOL,NEWLINE,ROSCREA,18,19,22,28,28,27,12,12,15,24,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18443K,S N IOSEF NAOFA,EAGLAIS,BORRISOKANE,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18465U,S N LIOS AN HALLA,NENAGH,CO TIPPERARY,32,31,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18557C,S N TEAMPALL DOIRE,NENAGH,CO TIPPERARY,21,27,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18559G,S N CILL NA NAOMH,KILLEEN,NENAGH,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,18775M,S N MICHEAL NAOFA,HOLYCROSS,THURLES,29,28,31,18,31,24,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19422H,CLOUGHJORDAN NO 1 N S,TEMPLEMORE ROAD,CLOUGHJORDAN,25,23,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19640R,SCOIL MHUIRE,LISMACKIN,ROSCREA,26,14,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19677R,SCOIL IOSAGAIN,UPPERCHURCH CENTRAL NS,THURLES,18,22,31,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19874T,SCOIL NA TOIRBHIRTE,PRESENTATION CONVENT NS,THURLES,27,26,29,32,33,32,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19937R,GAELSCOIL AONACH,BOTHAR NAOMH CHONLAIN,AONACH URMHUMHAN,34,28,27,22,25,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,19968F,GAELSCOIL DURLAS EILE,DURLAS,CO TIOBRAID ARAINN,30,31,34,26,29,24,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY N.R.,20062K,SCOIL MHUIRE,BORRISOKANE,CO TIPPERARY,25,25,22,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,00606M,MONARD N S,MONARD,SOLOHEAD,21,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,01285A,TIPPERARY JNR BN S,TIPPERARY,CO TIPPERARY,31,27,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,01862M,TIPPERARY G N S,ST.MICHAEL'S ST,TIPPERARY,21,30,24,29,30,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,02237R,DUALLA N S,DUALLA,CASHEL,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,02670I,SAN ISADOIR,BOTHAR LEATHAN,CASHEL,22,24,31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,04075E,MOYGLASS N S,MOYGLASS,FETHARD,22,28,15,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,04620D,THOMASTOWN N S,THOMASTOWN,GOLDEN CASHEL,22,26,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,05144C,NEW INN B N S,CASHEL,CO TIPPERARY,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,06789H,LISRONAGH N S,LISRONAGH,CLONMEL,21,24,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,07048Q,MOHOBER N S,MOHOBER,MULLINAHONE,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,07245S,CULLEN N S,CULLEN,CO TIPPERARY,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,07358I,S N SCEICHIN A RINCE,AN CHUIRT DOITE,AN CHATHAIR,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,08316U,NEWTOWN N S,NEWTOWN,SOLOHEAD,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,09432E,ST JOSEPHS PRIMARY SCHOOL,Murgasty Road,Tipperary Town,22,22,27,28,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,09967U,UPPER NEWTOWN N S,UPPER NEWTOWN,CARRICK ON SUIR,17,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,10120P,S N MHUIRE NA TROCAIRE,CAHIR,CO TIPPERARY,28,25,30,30,19,34,26,27,18,17,16,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,10533R,BALLYDREHID N S,CAHIR,CO TIPPERARY,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,11453B,LISNAMROCK N S,COALBROOK,THURLES,18,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,11470B,SLIEVEARDAGH N S,THE COMMONS,THURLES,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,11605V,ROSEGREEN N S,CNOCAN AN TEAMPAIL,ROSEGREEN,20,24,22,32,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,11872V,CLOCHAR NA TOIRBHIRTE,PRESENTATION CONVENT,CARRICK ON SUIR,17,19,19,20,20,22,17,20,20,18,15,15,25,23,23,21,20,26,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,12180U,PRESENTATION PRIMARY SCHOOL,CLONMEL,CO TIPPERARY,27,24,27,20,21,31,25,26,30,34,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,12349L,S N MUIRE NA NAINGEAL,CLOCHAR NA CARTHANACHTA,SRAID MORTUIN,29,27,29,29,27,27,26,22,23,30,26,31,25,23,29,28,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,13210I,ST JOSEPHS NATIONAL SCHOOL,BALLINGARRY,THURLES,24,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,13404V,Scoil Mhuire Gan Smál,NEW INN,CASHEL,22,23,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,13678M,KILLURNEY N S,BALLYPATRICK,CLONMEL,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,13847J,HOLLYFORD N S,HOLLYFORD,CO TIPPERARY,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,14008S,S N BHRIDE,DUN NA SCIATH,CURRAGHPOOR,18,26,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,14181J,POULICAPPLE N S,CALLAN,CO KILKENNY,17,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,14426N,KNOCKAVILLA N S,DUNDRUM,CO TIPPERARY,25,25,26,29,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,14791N,CAPPAWHITE N S,CAPPAWHITE,CO TIPPERARY,25,25,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,15008A,SHRONELL N S,LATTIN,TIPPERARY,23,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,15157R,MOUNT BRUIS N S,MOUNT BRUIS,TIPPERARY TOWN,13,20,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,15299O,GAILE N S,HOLYCROSS,THURLES,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,15362S,S N MICHIL NAOFA,MULLINAHONE,THURLES,33,33,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,15970S,BALLYTARSNA N S,CASHEL,CO TIPPERARY,19,29,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,16059W,EMLY N S,EMLY,CO TIPPERARY,17,26,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,16077B,ARDFINNAN N S,CLONMEL,CO TIPPERARY,32,30,27,21,24,26,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPPERARY S.R.,16111V,KILLUSTY N S,FETHARD,CO TIPPERARY,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
